"행정구역","2022년02월_총인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년02월_남자 인구수","2022년02월_여자 인구수","2022년02월_남여 비율"
"전국  (1000000000)","51,625,561","23,546,053","          2.19","25,738,197","25,887,364","          0.99"
"서울특별시  (1100000000)","9,508,451","4,442,586","          2.14","4,615,823","4,892,628","          0.94"
"부산광역시  (2600000000)","3,347,396","1,549,967","          2.16","1,637,111","1,710,285","          0.96"
"대구광역시  (2700000000)","2,381,095","1,065,477","          2.23","1,173,039","1,208,056","          0.97"
"인천광역시  (2800000000)","2,950,978","1,303,227","          2.26","1,477,432","1,473,546","          1.00"
"광주광역시  (2900000000)","1,440,032","647,419","          2.22","712,199","727,833","          0.98"
"대전광역시  (3000000000)","1,450,862","666,643","          2.18","723,812","727,050","          1.00"
"울산광역시  (3100000000)","1,119,446","483,490","          2.32","575,165","544,281","          1.06"
"세종특별자치시  (3600000000)","376,399","155,990","          2.41","187,858","188,541","          1.00"
"경기도  (4100000000)","13,574,369","5,861,240","          2.32","6,831,902","6,742,467","          1.01"
"강원도  (4200000000)","1,539,051","748,626","          2.06","774,543","764,508","          1.01"
"충청북도  (4300000000)","1,597,022","763,610","          2.09","810,649","786,373","          1.03"
"충청남도  (4400000000)","2,118,912","1,005,290","          2.11","1,083,507","1,035,405","          1.05"
"전라북도  (4500000000)","1,783,923","850,567","          2.10","887,611","896,312","          0.99"
"전라남도  (4600000000)","1,831,451","905,202","          2.02","921,753","909,698","          1.01"
"경상북도  (4700000000)","2,622,026","1,279,337","          2.05","1,321,638","1,300,388","          1.02"
"경상남도  (4800000000)","3,307,005","1,508,852","          2.19","1,664,907","1,642,098","          1.01"
"제주특별자치도  (5000000000)","677,143","308,530","          2.19","339,248","337,895","          1.00"
