일자,국가,총(누적),1차(누적),완료(누적),추가(누적),총(일),1차(일),완료(일),추가(일),1차(%),완료(%),추가(%),인구수(명)
2022/03/15 화,대한민국,120028530,44914731,44443726,32185393,37671,2454,3302,31919.0,87.5,86.58,62.7,51329905
2022/03/14 월,대한민국,119990859,44912277,44440424,32153474,57496,3667,4898,48934.0,87.5,86.58,62.64,51329905
2022/03/13 일,대한민국,119933363,44908610,44435526,32104540,885,79,104,702.0,87.49,86.57,62.55,51329905
2022/03/12 토,대한민국,119932478,44908531,44435422,32103838,44826,3989,5370,35467.0,87.49,86.57,62.54,51329905
2022/03/11 금,대한민국,119887652,44904542,44430052,32068371,108279,8865,13920,85498.0,87.48,86.56,62.48,51329905
2022/03/10 목,대한민국,119779373,44895677,44416132,31982873,73123,5179,6400,61549.0,87.46,86.53,62.31,51329905
2022/03/09 수,대한민국,119706250,44890498,44409732,31921324,10315,1074,1253,7988.0,87.45,86.52,62.19,51329905
2022/03/08 화,대한민국,119695935,44889424,44408479,31913336,52351,5878,5214,41262.0,87.45,86.52,62.17,51329905
2022/03/07 월,대한민국,119643584,44883546,44403265,31872074,80318,7873,5872,66581.0,87.44,86.51,62.09,51329905
2022/03/06 일,대한민국,119563266,44875673,44397393,31805493,1967,71,195,1701.0,87.43,86.49,61.96,51329905
2022/03/05 토,대한민국,119561299,44875602,44397198,31803792,60391,2295,5606,52490.0,87.43,86.49,61.96,51329905
2022/03/04 금,대한민국,119500908,44873307,44391592,31751302,116129,3502,7719,104918.0,87.42,86.48,61.86,51329905
2022/03/03 목,대한민국,119384779,44869805,44383873,31646384,72752,2002,4258,66496.0,87.41,86.47,61.65,51329905
2022/03/02 수,대한민국,119312027,44867803,44379615,31579888,71494,2216,4345,64939.0,87.41,86.46,61.52,51329905
2022/03/01 화,대한민국,119240533,44865587,44375270,31514949,5386,193,355,4839.0,87.41,86.45,61.4,51329905
2022/02/28 월,대한민국,119235147,44865394,44374915,31510110,158699,5651,8310,144746.0,87.41,86.45,61.39,51329905
2022/02/27 일,대한민국,119076448,44859743,44366605,31365364,6776,224,451,6101.0,87.39,86.43,61.11,51329905
2022/02/26 토,대한민국,119069672,44859519,44366154,31359263,132915,4922,8469,119525.0,87.39,86.43,61.09,51329905
2022/02/25 금,대한민국,118936757,44854597,44357685,31239738,250229,8949,13913,227380.0,87.38,86.42,60.86,51329905
2022/02/24 목,대한민국,118686528,44845648,44343772,31012358,164766,6291,10443,148041.0,87.37,86.39,60.42,51329905
2022/02/23 수,대한민국,118521762,44839357,44333329,30864317,119021,5848,3677,109515.0,87.36,86.37,60.13,51329905
2022/02/22 화,대한민국,118402741,44833509,44329652,30754802,124654,6358,3924,114379.0,87.34,86.36,59.92,51329905
2022/02/21 월,대한민국,118278087,44827151,44325728,30640423,175234,8178,5571,161504.0,87.33,86.35,59.69,51329905
2022/02/20 일,대한민국,118102853,44818973,44320157,30478919,9131,366,576,8189.0,87.32,86.34,59.38,51329905
2022/02/19 토,대한민국,118093722,44818607,44319581,30470730,151513,6255,9513,135750.0,87.31,86.34,59.36,51329905
2022/02/18 금,대한민국,117942209,44812352,44310068,30334980,275389,11560,15309,248534.0,87.3,86.32,59.1,51329905
2022/02/17 목,대한민국,117666820,44800792,44294759,30086446,188764,9211,10032,169532.0,87.28,86.29,58.61,51329905
2022/02/16 수,대한민국,117478056,44791581,44284727,29916914,148043,9288,9639,129141.0,87.26,86.27,58.28,51329905
2022/02/15 화,대한민국,117330013,44782293,44275088,29787773,160157,9876,10722,139575.0,87.24,86.26,58.03,51329905
2022/02/14 월,대한민국,117169856,44772417,44264366,29648198,218163,10483,13642,194054.0,87.22,86.24,57.76,51329905
2022/02/13 일,대한민국,116951693,44761934,44250724,29454144,9931,364,596,8971.0,87.2,86.21,57.38,51329905
2022/02/12 토,대한민국,116941762,44761570,44250128,29445173,187455,5748,12206,169506.0,87.2,86.21,57.36,51329905
2022/02/11 금,대한민국,116754307,44755822,44237922,29275667,335620,8355,19701,307589.0,87.19,86.18,57.03,51329905
2022/02/10 목,대한민국,116418687,44747467,44218221,28968078,225683,5958,13924,205844.0,87.18,86.15,56.44,51329905
2022/02/09 수,대한민국,116193004,44741509,44204297,28762234,165200,5241,12970,147022.0,87.16,86.12,56.03,51329905
2022/02/08 화,대한민국,116027804,44736268,44191327,28615212,185424,5844,16152,163451.0,87.15,86.09,55.75,51329905
2022/02/07 월,대한민국,115842380,44730424,44175175,28451761,277449,8231,22430,246821.0,87.14,86.06,55.43,51329905
2022/02/06 일,대한민국,115564931,44722193,44152745,28204940,13389,452,945,11992.0,87.13,86.02,54.95,51329905
2022/02/05 토,대한민국,115551542,44721741,44151800,28192948,229893,7286,18065,204553.0,87.13,86.02,54.92,51329905
2022/02/04 금,대한민국,115321649,44714455,44133735,27988395,407708,12557,35643,359544.0,87.11,85.98,54.53,51329905
2022/02/03 목,대한민국,114913941,44701898,44098092,27628851,393969,12445,52759,328801.0,87.09,85.91,53.83,51329905
2022/02/02 수,대한민국,114519972,44689453,44045333,27300050,13819,496,837,12486.0,87.06,85.81,53.19,51329905
2022/02/01 화,대한민국,114506153,44688957,44044496,27287564,3173,88,185,2902.0,87.06,85.81,53.16,51329905
2022/01/31 월,대한민국,114502980,44688869,44044311,27284662,20862,594,980,19290.0,87.06,85.81,53.16,51329905
2022/01/30 일,대한민국,114482118,44688275,44043331,27265372,26935,656,1385,24895.0,87.06,85.8,53.12,51329905
2022/01/29 토,대한민국,114455183,44687619,44041946,27240477,371290,8127,22501,340675.0,87.06,85.8,53.07,51329905
2022/01/28 금,대한민국,114083893,44679492,44019445,26899802,556204,13421,37191,505654.0,87.04,85.76,52.41,51329905
2022/01/27 목,대한민국,113527689,44666071,43982254,26394148,350504,9196,25191,316177.0,87.02,85.69,51.42,51329905
2022/01/26 수,대한민국,113177185,44656875,43957063,26077971,289759,8580,24698,256536.0,87,85.64,50.8,51329905
2022/01/25 화,대한민국,112887426,44648295,43932365,25821435,283196,9233,29396,244615.0,86.98,85.59,50.3,51329905
2022/01/24 월,대한민국,112604230,44639062,43902969,25576820,350969,11716,40733,298558.0,86.97,85.53,49.83,51329905
2022/01/23 일,대한민국,112253261,44627346,43862236,25278262,16499,598,1952,13951.0,86.94,85.45,49.25,51329905
2022/01/22 토,대한민국,112236762,44626748,43860284,25264311,286317,9374,17998,258957.0,86.94,85.45,49.22,51329905
2022/01/21 금,대한민국,111950445,44617374,43842286,25005354,544426,15390,59017,470076.0,86.92,85.41,48.71,51329905
2022/01/20 목,대한민국,111406019,44601984,43783269,24535278,337470,10494,44758,282306.0,86.89,85.3,47.8,51329905
2022/01/19 수,대한민국,111068549,44591490,43738511,24252972,271641,10165,45248,216294.0,86.87,85.21,47.25,51329905
2022/01/18 화,대한민국,110796908,44581325,43693263,24036678,321859,12190,46619,263112.0,86.85,85.12,46.83,51329905
2022/01/17 월,대한민국,110475049,44569135,43646644,23773566,473995,16071,71321,386668.0,86.83,85.03,46.32,51329905
2022/01/16 일,대한민국,110001054,44553064,43575323,23386898,21356,780,3429,17147.0,86.8,84.89,45.56,51329905
2022/01/15 토,대한민국,109979698,44552284,43571894,23369751,349058,13111,29351,306614.0,86.8,84.89,45.53,51329905
