일자,계(명),국내발생(명),해외유입(명),사망(명),,,,,,,,,,
누적(명),"8,250,592 ","8,220,055 ","30,537 ","11,481 ",,,,,,,,,,
20/01/2020,1 ,-,1 ,-,,,,,,,,,,
21/01/2020,0 ,-,-,-,,,,,,,,,,
22/01/2020,0 ,-,-,-,,,,,,,,,,
23/01/2020,0 ,-,-,-,,,,,,,,,,
24/01/2020,1 ,-,1 ,-,,,,,,,,,,
25/01/2020,0 ,-,-,-,,,,,,,,,,
26/01/2020,1 ,-,1 ,-,,,,,,,,,,
27/01/2020,1 ,-,1 ,-,,,,,,,,,,
28/01/2020,0 ,-,-,-,,,,,,,,,,
29/01/2020,0 ,-,-,-,,,,,,,,,,
30/01/2020,3 ,1 ,2 ,-,,,,,,,,,,
31/01/2020,4 ,3 ,1 ,-,,,,,,,,,,
01/02/2020,1 ,-,1 ,-,,,,,,,,,,
02/02/2020,3 ,1 ,2 ,-,,,,,,,,,,
03/02/2020,0 ,-,-,-,,,,,,,,,,
04/02/2020,1 ,-,1 ,-,,,,,,,,,,
05/02/2020,5 ,3 ,2 ,-,,,,,,,,,,
06/02/2020,3 ,1 ,2 ,-,,,,,,,,,,
07/02/2020,0 ,-,-,-,,,,,,,,,,
08/02/2020,0 ,-,-,-,,,,,,,,,,
09/02/2020,3 ,1 ,2 ,-,,,,,,,,,,
10/02/2020,1 ,1 ,-,-,,,,,,,,,,
11/02/2020,0 ,-,-,-,,,,,,,,,,
12/02/2020,0 ,-,-,-,,,,,,,,,,
13/02/2020,0 ,-,-,-,,,,,,,,,,
14/02/2020,0 ,-,-,-,,,,,,,,,,
15/02/2020,0 ,-,-,-,,,,,,,,,,
16/02/2020,2 ,2 ,-,-,,,,,,,,,,
17/02/2020,0 ,-,-,-,,,,,,,,,,
18/02/2020,2 ,2 ,-,-,,,,,,,,,,
19/02/2020,34 ,34 ,-,-,,,,,,,,,,
20/02/2020,16 ,16 ,-,1,,,,,,,,,,
21/02/2020,74 ,74 ,-,-,,,,,,,,,,
22/02/2020,190 ,190 ,-,2,,,,,,,,,,
23/02/2020,210 ,209 ,1 ,-,,,,,,,,,,
24/02/2020,207 ,206 ,1 ,4,,,,,,,,,,
25/02/2020,130 ,129 ,1 ,1,,,,,,,,,,
26/02/2020,253 ,252 ,1 ,3,,,,,,,,,,
27/02/2020,449 ,447 ,2 ,1,,,,,,,,,,
28/02/2020,427 ,427 ,-,1,,,,,,,,,,
29/02/2020,909 ,909 ,-,3,,,,,,,,,,
01/03/2020,595 ,593 ,2 ,1,,,,,,,,,,
02/03/2020,686 ,684 ,2 ,6,,,,,,,,,,
03/03/2020,600 ,599 ,1 ,5,,,,,,,,,,
04/03/2020,516 ,516 ,-,4,,,,,,,,,,
05/03/2020,438 ,437 ,1 ,3,,,,,,,,,,
06/03/2020,518 ,518 ,-,7,,,,,,,,,,
07/03/2020,483 ,483 ,-,2,,,,,,,,,,
08/03/2020,367 ,366 ,1 ,6,,,,,,,,,,
09/03/2020,248 ,247 ,1 ,1,,,,,,,,,,
10/03/2020,131 ,131 ,-,3,,,,,,,,,,
11/03/2020,242 ,239 ,3 ,6,,,,,,,,,,
12/03/2020,114 ,112 ,2 ,6,,,,,,,,,,
13/03/2020,110 ,107 ,3 ,1,,,,,,,,,,
14/03/2020,107 ,102 ,5 ,5,,,,,,,,,,
